stripN,Hirose
0,79
1,81
2,83
3,85
4,87
5,89
6,91
7,93
8,95
9,97
10,101
11,103
12,105
13,107
14,109
15,111
16,113
17,115
18,117
19,119
20,123
21,125
22,127
23,129
24,131
25,133
26,135
27,137
28,139
29,141
30,145
31,147
32,148
33,146
34,142
35,140
36,138
37,136
38,134
39,132
40,130
41,128
42,126
43,124
44,120
45,118
46,116
47,114
48,112
49,110
50,108
51,106
52,104
53,102
54,98
55,96
56,94
57,92
58,90
59,88
60,86
61,84
62,82
63,80
64,76
65,74
66,72
67,70
68,68
69,66
70,64
71,62
72,60
73,58
74,54
75,52
76,50
77,48
78,46
79,44
80,42
81,40
82,38
83,36
84,32
85,30
86,28
87,26
88,24
89,22
90,20
91,18
92,16
93,14
94,10
95,8
96,7
97,9
98,13
99,15
100,17
101,19
102,21
103,23
104,25
105,27
106,29
107,31
108,35
109,37
110,39
111,41
112,43
113,45
114,47
115,49
116,51
117,53
118,57
119,59
120,61
121,63
122,65
123,67
124,69
125,71
126,73
127,75
