stripN,Hirose
0,79
1,81
2,83
3,85
4,87
5,89
6,91
7,93
8,95
9,97
10,101
11,103
12,105
13,107
14,109
15,111
16,113
17,115
18,117
19,119
20,123
21,125
22,127
23,129
24,131
25,133
26,135
27,137
28,139
29,141
30,145
31,147
32,148
33,146
34,142
35,140
36,138
37,136
38,134
39,132
40,130
41,128
42,126
43,124
44,120
45,118
46,116
47,114
48,112
49,110
50,108
51,106
52,104
53,102
54,98
55,96
56,94
57,92
58,90
59,88
60,86
61,84
62,82
63,80
64,76
65,74
66,72
67,70
68,68
69,66
70,64
71,62
72,60
73,58
74,54
75,52
76,50
77,48
78,46
79,44
80,42
81,40
82,38
83,36
84,32
85,30
86,28
87,26
88,24
89,22
90,20
91,18
92,16
93,14
94,10
95,8
96,17
97,19
98,21
99,23
100,25
101,27
102,29
103,31
104,35
105,37
106,39
107,41
108,43
109,45
110,47
111,49
112,51
113,53
114,59
115,61
116,63
117,65
118,67
119,69
120,71
121,73
122,75
-1,7
-1,9
-1,13
-1,15
-1,57
