stripN,Hirose
0,148
1,146
2,142
3,140
4,138
5,136
6,134
7,132
8,130
9,128
10,126
11,124
12,120
13,118
14,116
15,114
16,112
17,110
18,108
19,106
20,104
21,102
22,98
23,96
24,94
25,92
26,90
27,88
28,86
29,84
30,82
31,80
32,76
33,74
34,72
35,70
36,68
37,66
38,64
39,62
40,60
41,58
42,54
43,52
44,50
45,48
46,46
47,44
48,42
49,40
50,38
51,36
52,32
53,30
54,28
55,26
56,24
57,22
58,20
59,18
60,16
61,14
62,10
63,8
64,7
65,9
66,13
67,15
68,17
69,19
70,21
71,23
72,25
73,27
74,29
75,31
76,35
77,37
78,39
79,41
80,43
81,45
82,47
83,49
84,51
85,53
86,57
87,59
88,61
89,63
90,65
91,67
92,69
93,71
94,73
95,75
96,79
97,81
98,83
99,85
100,87
101,89
102,91
103,93
104,95
105,97
106,101
107,103
108,105
109,107
110,109
111,111
112,113
113,115
114,117
115,119
116,123
117,125
118,127
119,129
120,131
121,133
122,135
123,137
124,139
125,141
126,145
127,147
